"","entry.name","protein.description","peptides.rep1","peptides.rep2","psms.rep1","psms.rep2","phenodisco.input","phenodisco.output","curated.phenodisco.output","markers","svm.classification","svm.score","svm.top.quartile","final.assignment","first.evidence","curated.organelles","cytoskeletal.components","trafficking.proteins","protein.complexes","signalling.cascades","oct4.interactome","nanog.interactome","sox2.interactome","cell.surface.proteins","markers2015"
"Q61189","ICLN_MOUSE","Methylosome subunit pICln OS=Mus musculus GN=Clns1a PE=1 SV=1 - [ICLN_MOUSE]",2,3,3,4,"unknown","Proteasome","unknown","unknown","Proteasome",0.553,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q61214","DYR1A_MOUSE","Dual specificity tyrosine-phosphorylation-regulated kinase 1A OS=Mus musculus GN=Dyrk1a PE=1 SV=1 - [DYR1A_MOUSE]",2,4,3,5,"unknown","unknown","unknown","unknown","60S Ribosome",0.17,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q62193","RFA2_MOUSE","Replication protein A 32 kDa subunit OS=Mus musculus GN=Rpa2 PE=1 SV=1 - [RFA2_MOUSE]",2,3,3,6,"unknown","unknown","unknown","unknown","Nucleus - Non-chromatin",0.151,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Prey","unknown","unknown"
"Q62261-2","SPTB2_MOUSE","Isoform 2 of Spectrin beta chain, non-erythrocytic 1 OS=Mus musculus GN=Sptbn1 - [SPTB2_MOUSE]",2,2,3,3,"unknown","unknown","unknown","unknown","Endoplasmic reticulum/Golgi apparatus",0.211,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q64729-2","TGFR1_MOUSE","Isoform 2 of TGF-beta receptor type-1 OS=Mus musculus GN=Tgfbr1 - [TGFR1_MOUSE]",2,2,3,2,"unknown","unknown","unknown","unknown","Plasma membrane",0.572,"unknown","unknown","N","unknown","unknown","unknown","unknown","BMP/SMAD","unknown","unknown","unknown","unknown","unknown"
"Q66GT5","PTPM1_MOUSE","Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1 OS=Mus musculus GN=Ptpmt1 PE=1 SV=1 - [PTPM1_MOUSE]",2,1,3,1,"unknown","unknown","unknown","unknown","Mitochondrion",0.642,"unknown","Mitochondrion","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q69ZP3-2","PNKD_MOUSE","Isoform 2 of Probable hydrolase PNKD OS=Mus musculus GN=Pnkd - [PNKD_MOUSE]",2,2,3,3,"unknown","unknown","unknown","unknown","Mitochondrion",0.961,"unknown","Mitochondrion","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q6P069-2","SORCN_MOUSE","Isoform 2 of Sorcin OS=Mus musculus GN=Sri - [SORCN_MOUSE]",2,3,3,4,"unknown","Phenotype 5","unknown","unknown","Cytosol",0.856,"Cytosol","Cytosol","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q6P5F7-2","TTYH3_MOUSE","Isoform 2 of Protein tweety homolog 3 OS=Mus musculus GN=Ttyh3 - [TTYH3_MOUSE]",2,3,3,4,"unknown","Plasma membrane","unknown","unknown","Plasma membrane",0.217,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q6PIU9","YJ005_MOUSE","Uncharacterized protein FLJ45252 homolog OS=Mus musculus PE=1 SV=2 - [YJ005_MOUSE]",2,4,3,4,"unknown","unknown","unknown","unknown","Endoplasmic reticulum/Golgi apparatus",0.194,"unknown","unknown","Y","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q6ZWY8","TYB10_MOUSE","Thymosin beta-10 OS=Mus musculus GN=Tmsb10 PE=2 SV=3 - [TYB10_MOUSE]",2,2,3,2,"unknown","Phenotype 5","unknown","unknown","Cytosol",0.844,"Cytosol","Cytosol","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","High Confidence","unknown"
"Q76KJ5","RPA34_MOUSE","DNA-directed RNA polymerase I subunit RPA34 OS=Mus musculus GN=Cd3eap PE=1 SV=2 - [RPA34_MOUSE]",2,4,3,4,"unknown","unknown","unknown","unknown","Nucleus - Chromatin",0.347,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q80TP3","UBR5_MOUSE","E3 ubiquitin-protein ligase UBR5 OS=Mus musculus GN=Ubr5 PE=1 SV=2 - [UBR5_MOUSE]",2,9,3,10,"unknown","unknown","unknown","unknown","Mitochondrion",0.131,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q811S7-2","UBIP1_MOUSE","Isoform 2 of Upstream-binding protein 1 OS=Mus musculus GN=Ubp1 - [UBIP1_MOUSE]",2,2,3,3,"unknown","unknown","unknown","unknown","Nucleus - Chromatin",0.908,"Nucleus - Chromatin","Nucleus - Chromatin","N","unknown","unknown","unknown","unknown","unknown","Prey","unknown","unknown","unknown","unknown"
"Q812A2","SRGP3_MOUSE","SLIT-ROBO Rho GTPase-activating protein 3 OS=Mus musculus GN=Srgap3 PE=1 SV=1 - [SRGP3_MOUSE]",2,3,3,5,"unknown","unknown","unknown","unknown","Plasma membrane",0.681,"unknown","Plasma membrane","Y","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q8BGT7","SPF30_MOUSE","Survival of motor neuron-related-splicing factor 30 OS=Mus musculus GN=Smndc1 PE=2 SV=1 - [SPF30_MOUSE]",2,2,3,5,"unknown","unknown","unknown","unknown","Nucleus - Non-chromatin",0.668,"unknown","Nucleus - Non-chromatin","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q8BHA3-2","DTD2_MOUSE","Isoform 2 of Probable D-tyrosyl-tRNA(Tyr) deacylase 2 OS=Mus musculus GN=Dtd2 - [DTD2_MOUSE]",2,2,3,2,"unknown","unknown","unknown","unknown","60S Ribosome",0.601,"60S Ribosome","60S Ribosome","Y","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q8BHJ9","SLU7_MOUSE","Pre-mRNA-splicing factor SLU7 OS=Mus musculus GN=Slu7 PE=1 SV=1 - [SLU7_MOUSE]",2,3,3,3,"unknown","Phenotype 2","unknown","unknown","Nucleus - Non-chromatin",0.911,"Nucleus - Non-chromatin","Nucleus - Non-chromatin","N","unknown","unknown","unknown","Spliceosome","unknown","unknown","unknown","unknown","unknown","unknown"
"Q8BK30","NDUV3_MOUSE","NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial OS=Mus musculus GN=Ndufv3 PE=2 SV=1 - [NDUV3_MOUSE]",2,2,3,3,"Mitochondrion","Mitochondrion","Mitochondrion","Mitochondrion","Mitochondrion",1,"Mitochondrion","Mitochondrion","N","unknown","unknown","unknown","NADH dehydrogenase","unknown","unknown","unknown","unknown","unknown","Mitochondrion"
"Q8BN21-2","VRK2_MOUSE","Isoform 2 of Serine/threonine-protein kinase VRK2 OS=Mus musculus GN=Vrk2 - [VRK2_MOUSE]",2,4,3,4,"unknown","unknown","unknown","unknown","Endoplasmic reticulum/Golgi apparatus",0.89,"unknown","Endoplasmic reticulum/Golgi apparatus","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q8BR65","SDS3_MOUSE","Sin3 histone deacetylase corepressor complex component SDS3 OS=Mus musculus GN=Suds3 PE=1 SV=1 - [SDS3_MOUSE]",2,3,3,4,"unknown","unknown","unknown","unknown","Nucleus - Chromatin",0.902,"Nucleus - Chromatin","Nucleus - Chromatin","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q8BTW8","CK5P1_MOUSE","CDK5 regulatory subunit-associated protein 1 OS=Mus musculus GN=Cdk5rap1 PE=2 SV=2 - [CK5P1_MOUSE]",2,5,3,5,"unknown","unknown","unknown","unknown","Mitochondrion",0.354,"unknown","unknown","Y","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q8BY87-2","UBP47_MOUSE","Isoform 2 of Ubiquitin carboxyl-terminal hydrolase 47 OS=Mus musculus GN=Usp47 - [UBP47_MOUSE]",2,6,3,6,"unknown","Phenotype 5","unknown","unknown","Cytosol",0.786,"unknown","Cytosol","Y","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q8BZX4-2","SREK1_MOUSE","Isoform 2 of Splicing regulatory glutamine/lysine-rich protein 1 OS=Mus musculus GN=Srek1 - [SREK1_MOUSE]",2,4,3,5,"unknown","unknown","unknown","unknown","Nucleus - Non-chromatin",0.937,"Nucleus - Non-chromatin","Nucleus - Non-chromatin","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q8C7V8","CC134_MOUSE","Coiled-coil domain-containing protein 134 OS=Mus musculus GN=Ccdc134 PE=2 SV=1 - [CC134_MOUSE]",2,4,3,5,"unknown","Endoplasmic reticulum/Golgi apparatus","unknown","unknown","Endoplasmic reticulum/Golgi apparatus",0.888,"unknown","Endoplasmic reticulum/Golgi apparatus","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q8CEE0-2","CEP57_MOUSE","Isoform 2 of Centrosomal protein of 57 kDa OS=Mus musculus GN=Cep57 - [CEP57_MOUSE]",2,4,3,4,"unknown","unknown","unknown","unknown","Mitochondrion",0.824,"unknown","Mitochondrion","N","unknown","MTOC","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q8CI66","STML1_MOUSE","Stomatin-like protein 1 OS=Mus musculus GN=Stoml1 PE=2 SV=1 - [STML1_MOUSE]",2,2,3,3,"unknown","unknown","unknown","unknown","Lysosome",0.491,"unknown","unknown","Y","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q8CI78","RMND1_MOUSE","Required for meiotic nuclear division protein 1 homolog OS=Mus musculus GN=Rmnd1 PE=2 SV=1 - [RMND1_MOUSE]",2,2,3,3,"unknown","Mitochondrion","unknown","Mitochondrion","Mitochondrion",1,"Mitochondrion","Mitochondrion","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Mitochondrion"
"Q8JZV7","NAGA_MOUSE","Putative N-acetylglucosamine-6-phosphate deacetylase OS=Mus musculus GN=Amdhd2 PE=2 SV=1 - [NAGA_MOUSE]",2,1,3,1,"unknown","unknown","unknown","unknown","Proteasome",0.431,"unknown","unknown","Y","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q8K1M6-3","DNM1L_MOUSE","Isoform 3 of Dynamin-1-like protein OS=Mus musculus GN=Dnm1l - [DNM1L_MOUSE]",2,1,3,1,"unknown","unknown","unknown","unknown","Cytosol",0.23,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q8K2J7-2","RELL1_MOUSE","Isoform 2 of RELT-like protein 1 OS=Mus musculus GN=Rell1 - [RELL1_MOUSE]",2,2,3,2,"unknown","unknown","unknown","unknown","Plasma membrane",0.752,"unknown","Plasma membrane","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q8K2T1","NMRL1_MOUSE","NmrA-like family domain-containing protein 1 OS=Mus musculus GN=Nmral1 PE=1 SV=1 - [NMRL1_MOUSE]",2,2,3,3,"unknown","Proteasome","unknown","unknown","Proteasome",0.727,"Proteasome","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q8K370","ACD10_MOUSE","Acyl-CoA dehydrogenase family member 10 OS=Mus musculus GN=Acad10 PE=2 SV=1 - [ACD10_MOUSE]",2,5,3,6,"unknown","unknown","unknown","unknown","Mitochondrion",0.921,"unknown","Mitochondrion","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q8K3H0","DP13A_MOUSE","DCC-interacting protein 13-alpha OS=Mus musculus GN=Appl1 PE=1 SV=1 - [DP13A_MOUSE]",2,2,3,2,"unknown","unknown","unknown","unknown","Cytosol",0.682,"unknown","Cytosol","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q8R480","NUP85_MOUSE","Nuclear pore complex protein Nup85 OS=Mus musculus GN=Nup85 PE=1 SV=1 - [NUP85_MOUSE]",2,8,3,12,"unknown","unknown","unknown","unknown","Nucleus - Non-chromatin",0.52,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q8R5J9","PRAF3_MOUSE","PRA1 family protein 3 OS=Mus musculus GN=Arl6ip5 PE=1 SV=2 - [PRAF3_MOUSE]",2,2,3,2,"unknown","Endoplasmic reticulum/Golgi apparatus","unknown","unknown","Endoplasmic reticulum/Golgi apparatus",0.918,"Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q8VCM4","LIPT_MOUSE","Lipoyltransferase 1, mitochondrial OS=Mus musculus GN=Lipt1 PE=2 SV=1 - [LIPT_MOUSE]",2,5,3,5,"unknown","Mitochondrion","unknown","Mitochondrion","Mitochondrion",1,"Mitochondrion","Mitochondrion","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Mitochondrion"
"Q8VCS3","XYLK_MOUSE","Glycosaminoglycan xylosylkinase OS=Mus musculus GN=Fam20b PE=2 SV=1 - [XYLK_MOUSE]",2,3,3,3,"unknown","Phenotype 8","Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus",1,"Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Endoplasmic reticulum/Golgi apparatus"
"Q8VDK1-2","NIT1_MOUSE","Isoform 2 of Nitrilase homolog 1 OS=Mus musculus GN=Nit1 - [NIT1_MOUSE]",2,1,3,1,"unknown","unknown","unknown","unknown","Mitochondrion",0.474,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q8VDS4","RPR1A_MOUSE","Regulation of nuclear pre-mRNA domain-containing protein 1A OS=Mus musculus GN=Rprd1a PE=2 SV=1 - [RPR1A_MOUSE]",2,2,3,2,"unknown","unknown","unknown","unknown","Nucleus - Chromatin",0.417,"unknown","unknown","Y","unknown","unknown","unknown","Spliceosome","unknown","unknown","unknown","unknown","unknown","unknown"
"Q8VI33","TAF9_MOUSE","Transcription initiation factor TFIID subunit 9 OS=Mus musculus GN=Taf9 PE=2 SV=1 - [TAF9_MOUSE]",2,3,3,3,"unknown","unknown","unknown","unknown","Nucleus - Chromatin",0.561,"unknown","unknown","N","unknown","unknown","TAF complex","TAF complex","unknown","unknown","Prey","unknown","unknown","unknown"
"Q8VIG1","REST_MOUSE","RE1-silencing transcription factor OS=Mus musculus GN=Rest PE=2 SV=2 - [REST_MOUSE]",2,6,3,6,"unknown","Phenotype 1","unknown","unknown","Nucleus - Chromatin",0.922,"Nucleus - Chromatin","Nucleus - Chromatin","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q91UZ5","IMPA2_MOUSE","Inositol monophosphatase 2 OS=Mus musculus GN=Impa2 PE=1 SV=1 - [IMPA2_MOUSE]",2,2,3,3,"unknown","Phenotype 5","Cytosol","Cytosol","Cytosol",1,"Cytosol","Cytosol","Y","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Cytosol"
"Q91VJ5","PQBP1_MOUSE","Polyglutamine-binding protein 1 OS=Mus musculus GN=Pqbp1 PE=2 SV=1 - [PQBP1_MOUSE]",2,3,3,3,"unknown","Phenotype 2","unknown","unknown","Nucleus - Non-chromatin",0.711,"unknown","Nucleus - Non-chromatin","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q91VT1","NSE2_MOUSE","E3 SUMO-protein ligase NSE2 OS=Mus musculus GN=Nsmce2 PE=2 SV=1 - [NSE2_MOUSE]",2,2,3,3,"unknown","unknown","unknown","unknown","Nucleus - Chromatin",0.354,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q91VX9","TM168_MOUSE","Transmembrane protein 168 OS=Mus musculus GN=Tmem168 PE=2 SV=1 - [TM168_MOUSE]",2,5,3,5,"unknown","Phenotype 3","unknown","unknown","Endosome",0.411,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q91W39","NCOA5_MOUSE","Nuclear receptor coactivator 5 OS=Mus musculus GN=Ncoa5 PE=1 SV=1 - [NCOA5_MOUSE]",2,6,3,7,"unknown","unknown","unknown","unknown","Nucleus - Non-chromatin",0.671,"unknown","Nucleus - Non-chromatin","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q91XU3","PI42C_MOUSE","Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma OS=Mus musculus GN=Pip4k2c PE=2 SV=1 - [PI42C_MOUSE]",2,3,3,4,"unknown","unknown","unknown","unknown","Endoplasmic reticulum/Golgi apparatus",0.147,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q91Y86","MK08_MOUSE","Mitogen-activated protein kinase 8 OS=Mus musculus GN=Mapk8 PE=1 SV=1 - [MK08_MOUSE]",2,2,3,3,"unknown","unknown","unknown","unknown","Cytosol",0.279,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q91YJ3","THYN1_MOUSE","Thymocyte nuclear protein 1 OS=Mus musculus GN=Thyn1 PE=1 SV=1 - [THYN1_MOUSE]",2,5,3,5,"unknown","unknown","unknown","unknown","Nucleus - Chromatin",0.763,"unknown","Nucleus - Chromatin","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q91Z38","TTC1_MOUSE","Tetratricopeptide repeat protein 1 OS=Mus musculus GN=Ttc1 PE=2 SV=1 - [TTC1_MOUSE]",2,3,3,6,"unknown","unknown","unknown","unknown","Cytosol",0.821,"unknown","Cytosol","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q99K70","RRAGC_MOUSE","Ras-related GTP-binding protein C OS=Mus musculus GN=Rragc PE=2 SV=1 - [RRAGC_MOUSE]",2,2,3,4,"unknown","unknown","unknown","unknown","Plasma membrane",0.445,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q99LB0","TDIF1_MOUSE","Deoxynucleotidyltransferase terminal-interacting protein 1 OS=Mus musculus GN=Dnttip1 PE=2 SV=1 - [TDIF1_MOUSE]",2,1,3,1,"unknown","unknown","unknown","unknown","Nucleus - Chromatin",0.812,"unknown","Nucleus - Chromatin","N","unknown","unknown","unknown","unknown","unknown","unknown","Prey","unknown","unknown","unknown"
"Q99LL5","PWP1_MOUSE","Periodic tryptophan protein 1 homolog OS=Mus musculus GN=Pwp1 PE=1 SV=1 - [PWP1_MOUSE]",2,5,3,7,"unknown","unknown","unknown","unknown","Nucleus - Non-chromatin",0.367,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q99LS3","SERB_MOUSE","Phosphoserine phosphatase OS=Mus musculus GN=Psph PE=1 SV=1 - [SERB_MOUSE]",2,3,3,4,"unknown","Phenotype 5","unknown","unknown","Proteasome",0.604,"unknown","unknown","Y","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q99LT0","DPY30_MOUSE","Protein dpy-30 homolog OS=Mus musculus GN=Dpy30 PE=1 SV=1 - [DPY30_MOUSE]",2,1,3,1,"unknown","unknown","unknown","unknown","Nucleus - Non-chromatin",0.212,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q99M87","DNJA3_MOUSE","DnaJ homolog subfamily A member 3, mitochondrial OS=Mus musculus GN=Dnaja3 PE=1 SV=1 - [DNJA3_MOUSE]",2,2,3,5,"Mitochondrion","Mitochondrion","Mitochondrion","Mitochondrion","Mitochondrion",1,"Mitochondrion","Mitochondrion","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Mitochondrion"
"Q9BCZ4","SELS_MOUSE","Selenoprotein S OS=Mus musculus GN=Vimp PE=2 SV=3 - [SELS_MOUSE]",2,3,3,4,"unknown","unknown","unknown","unknown","Endoplasmic reticulum/Golgi apparatus",0.809,"unknown","Endoplasmic reticulum/Golgi apparatus","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q9CPW3","RM54_MOUSE","39S ribosomal protein L54, mitochondrial OS=Mus musculus GN=Mrpl54 PE=2 SV=1 - [RM54_MOUSE]",2,3,3,4,"unknown","Mitochondrion","unknown","Mitochondrion","Mitochondrion",1,"Mitochondrion","Mitochondrion","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Mitochondrion"
"Q9CPY3","CDCA5_MOUSE","Sororin OS=Mus musculus GN=Cdca5 PE=1 SV=1 - [CDCA5_MOUSE]",2,1,3,1,"unknown","unknown","unknown","unknown","Nucleus - Chromatin",0.902,"Nucleus - Chromatin","Nucleus - Chromatin","N","unknown","unknown","unknown","Cohesin complex","unknown","unknown","unknown","unknown","unknown","unknown"
"Q9CQ91","NDUA3_MOUSE","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3 OS=Mus musculus GN=Ndufa3 PE=1 SV=1 - [NDUA3_MOUSE]",2,3,3,3,"unknown","unknown","unknown","unknown","Mitochondrion",0.964,"unknown","Mitochondrion","N","unknown","unknown","unknown","NADH dehydrogenase","unknown","unknown","unknown","unknown","unknown","unknown"
"Q9CQL6","RM35_MOUSE","39S ribosomal protein L35, mitochondrial OS=Mus musculus GN=Mrpl35 PE=2 SV=1 - [RM35_MOUSE]",2,2,3,2,"unknown","Mitochondrion","unknown","Mitochondrion","Mitochondrion",1,"Mitochondrion","Mitochondrion","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Mitochondrion"
"Q9CQM5","TXD17_MOUSE","Thioredoxin domain-containing protein 17 OS=Mus musculus GN=Txndc17 PE=1 SV=1 - [TXD17_MOUSE]",2,1,3,2,"unknown","unknown","unknown","unknown","Cytosol",0.619,"unknown","Cytosol","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q9CQV6","MLP3B_MOUSE","Microtubule-associated proteins 1A/1B light chain 3B OS=Mus musculus GN=Map1lc3b PE=1 SV=3 - [MLP3B_MOUSE]",2,2,3,2,"unknown","unknown","unknown","unknown","Actin cytoskeleton",0.4,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q9CRA4","MSMO1_MOUSE","Methylsterol monooxygenase 1 OS=Mus musculus GN=Msmo1 PE=2 SV=1 - [MSMO1_MOUSE]",2,3,3,5,"unknown","unknown","unknown","unknown","Endoplasmic reticulum/Golgi apparatus",0.864,"unknown","Endoplasmic reticulum/Golgi apparatus","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q9CWD8","NUBPL_MOUSE","Iron-sulfur protein NUBPL OS=Mus musculus GN=Nubpl PE=2 SV=2 - [NUBPL_MOUSE]",2,4,3,5,"unknown","Mitochondrion","unknown","unknown","Mitochondrion",0.98,"Mitochondrion","Mitochondrion","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q9CWG8","NDUF7_MOUSE","NADH dehydrogenase [ubiquinone] complex I, assembly factor 7 OS=Mus musculus GN=Ndufaf7 PE=2 SV=4 - [NDUF7_MOUSE]",2,5,3,5,"unknown","Mitochondrion","unknown","Mitochondrion","Mitochondrion",1,"Mitochondrion","Mitochondrion","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Mitochondrion"
"Q9CXE7","TMED5_MOUSE","Transmembrane emp24 domain-containing protein 5 OS=Mus musculus GN=Tmed5 PE=2 SV=1 - [TMED5_MOUSE]",2,2,3,4,"unknown","Endoplasmic reticulum/Golgi apparatus","unknown","unknown","Endoplasmic reticulum/Golgi apparatus",0.93,"Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q9D115","ZN706_MOUSE","Zinc finger protein 706 OS=Mus musculus GN=Znf706 PE=2 SV=1 - [ZN706_MOUSE]",2,4,3,4,"unknown","unknown","unknown","unknown","60S Ribosome",0.525,"60S Ribosome","unknown","Y","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q9D1P4","CHRD1_MOUSE","Cysteine and histidine-rich domain-containing protein 1 OS=Mus musculus GN=Chordc1 PE=1 SV=1 - [CHRD1_MOUSE]",2,4,3,5,"unknown","Phenotype 5","unknown","unknown","Cytosol",0.822,"unknown","Cytosol","Y","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q9D2M8","UB2V2_MOUSE","Ubiquitin-conjugating enzyme E2 variant 2 OS=Mus musculus GN=Ube2v2 PE=2 SV=4 - [UB2V2_MOUSE]",2,3,3,3,"unknown","unknown","unknown","unknown","Cytosol",0.61,"unknown","Cytosol","Y","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q9D6J5","NDUB8_MOUSE","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial OS=Mus musculus GN=Ndufb8 PE=1 SV=1 - [NDUB8_MOUSE]",2,1,3,1,"unknown","unknown","unknown","unknown","Mitochondrion",0.971,"unknown","Mitochondrion","N","unknown","unknown","unknown","NADH dehydrogenase","unknown","unknown","unknown","unknown","unknown","unknown"
"Q9D8Z2","TRIA1_MOUSE","TP53-regulated inhibitor of apoptosis 1 OS=Mus musculus GN=Triap1 PE=2 SV=1 - [TRIA1_MOUSE]",2,2,3,5,"unknown","Mitochondrion","unknown","unknown","Mitochondrion",0.975,"Mitochondrion","Mitochondrion","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q9DB85","RRP8_MOUSE","Ribosomal RNA-processing protein 8 OS=Mus musculus GN=Rrp8 PE=1 SV=1 - [RRP8_MOUSE]",2,2,3,3,"unknown","Phenotype 2","Nucleus - Non-chromatin","Nucleus - Non-chromatin","Nucleus - Non-chromatin",1,"Nucleus - Non-chromatin","Nucleus - Non-chromatin","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Nucleus - Non-chromatin"
"Q9DB96","NGDN_MOUSE","Neuroguidin OS=Mus musculus GN=Ngdn PE=1 SV=1 - [NGDN_MOUSE]",2,5,3,6,"unknown","Phenotype 2","unknown","unknown","Nucleus - Non-chromatin",0.913,"Nucleus - Non-chromatin","Nucleus - Non-chromatin","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
